random_ID,key_resp_6.keys,key_resp_6.rt,key_resp.keys,key_resp.corr,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,session,age,gender,experimenter,date,expName,psychopyVersion,OS,frameRate,key_resp.rt
,,,v,0,,0,58,58,70,1,cmp_shelves_049_toys_008,S4_shelves_049_toys_008.jpg,1,truck627.png,truck627.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,m,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,1.994985
,,,v,1,,0,59,59,106,1,cmp_mountain_018_sheep_006,S8_mountain_018_sheep_006.jpg,0,blank.png,blank.png,sheep1610.png,sheep1647.png,sheep1786.png,sheep1673.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,v,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,3.55819
,,,m,1,,0,60,60,18,1,cmp_building_052_bird_008,S2_building_052_bird_008.jpg,1,bird936.png,bird936.png,bird927.png,bird935.png,bird938.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,m,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,1.274945
,,,v,1,,0,61,61,72,1,cmp_building_006_person_003,S4_building_006_person_003.jpg,0,blank.png,blank.png,person311.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,v,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,1.633525
,,,v,1,,0,62,62,93,1,cmp_building_025_person_011,S4_building_025_person_011.jpg,0,blank.png,blank.png,person1266.png,person1352.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,v,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,1.9451
,,,v,1,,0,63,63,77,1,cmp_shelves_043_toys_002,S4_shelves_043_toys_002.jpg,0,blank.png,blank.png,car138.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,v,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,0.809885
,,,m,1,,0,64,64,46,1,cmp_jungle_001_bird_001.jpg,S4_jungle_001_bird_001.jpg,1,stm_jungle_001_bird_001_007.png,stm_jungle_001_bird_001_007.png,stm_jungle_001_bird_001_010.png,stm_jungle_001_bird_001_015.png,stm_jungle_001_bird_001_005.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,m,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,1.366145
,,,v,1,,0,65,65,28,1,cmp_field_002_farmanimals_002,S2_field_002_farmanimals_002.jpg,0,blank.png,blank.png,cow120.png,cow65.png,horse126.png,cow325.png,blank.png,blank.png,blank.png,blank.png,0,2,4,4,7,v,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,2.735665
,,,m,0,,0,66,66,22,1,cmp_shelves_002_fruits_001,S2_shelves_002_fruits_001.jpg,0,blank.png,blank.png,stm_shelves_001_fruits_001_012.png,stm_shelves_001_fruits_001_010.png,stm_shelves_001_fruits_001_009.png,stm_shelves_001_fruits_001_013.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,v,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,2.82118
,,,v,1,,0,67,67,14,1,cmp_shelves_035_book_008,S1_shelves_035_book_008.jpg,0,blank.png,blank.png,book271.png,book113.png,book484.png,book429.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,v,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,1.057725
,,,v,1,,0,68,68,78,1,cmp_building_011_cat_003,S4_building_011_cat_003.jpg,0,blank.png,blank.png,cat167.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,v,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,1.094905
