trialnum,condit,stimamt,stim1posx,stim1posy,stim1col,stim1opa,stim2posx,stim2posy,stim2col,stim2opa,stim3posx,stim3posy,stim3col,stim3opa,stim4posx,stim4posy,stim4col,stim4opa,stim5posx,stim5posy,stim5col,stim5opa,stim6posx,stim6posy,stim6col,stim6opa,stim7posx,stim7posy,stim7col,stim7opa,stim8posx,stim8posy,stim8col,stim8opa,stimsizex,stimsizey,stimdur,targetposx,targetposy,targetcol,corrAns,n,key_resp.corr_mean,key_resp.corr_raw,key_resp.corr_std,key_resp.keys_raw,key_resp.rt_mean,key_resp.rt_raw,key_resp.rt_std,order
56,different,4,0.27,0.14,yellow,1,0.41,-0.14,blue,1,-0.14,-0.27,green,1,-0.41,0.14,white,1,0.14,0.14,magenta,0,0.41,-0.41,red,0,-0.41,-0.14,orange,0,-0.41,0.27,black,0,0.05,0.05,0.15,-0.14,-0.27,magenta,l,1.0,1.0,1.0,0.0,'l',1.0008355379104614,1.0008355379104614,0.0,85.0
57,different,4,0.14,0.41,black,1,0.14,-0.14,blue,1,-0.41,-0.14,red,1,-0.41,0.14,orange,1,0.41,0.41,magenta,0,0.41,-0.14,white,0,-0.14,-0.27,yellow,0,-0.27,0.41,green,0,0.05,0.05,0.15,-0.41,0.14,blue,l,1.0,1.0,1.0,0.0,'l',1.0003509521484375,1.0003509521484375,0.0,16.0
58,different,4,0.14,0.41,blue,1,0.14,-0.14,black,1,-0.14,-0.14,yellow,1,-0.27,0.41,magenta,1,0.27,0.41,red,0,0.14,-0.27,white,0,-0.41,-0.27,orange,0,-0.27,0.27,green,0,0.05,0.05,0.15,0.14,0.41,yellow,l,1.0,1.0,1.0,0.0,'l',1.6503469944000244,1.6503469944000244,0.0,42.0
59,different,4,0.27,0.41,black,1,0.41,-0.14,blue,1,-0.27,-0.27,white,1,-0.14,0.41,green,1,0.14,0.27,red,0,0.41,-0.41,magenta,0,-0.14,-0.27,orange,0,-0.41,0.27,yellow,0,0.05,0.05,0.15,0.27,0.41,yellow,l,1.0,1.0,1.0,0.0,'l',0.8670117855072021,0.8670117855072021,0.0,51.0
60,different,4,0.41,0.14,white,1,0.14,-0.41,green,1,-0.41,-0.41,yellow,1,-0.41,0.41,magenta,1,0.14,0.14,orange,0,0.41,-0.41,red,0,-0.14,-0.41,black,0,-0.27,0.27,blue,0,0.05,0.05,0.15,0.41,0.14,blue,l,1.0,1.0,1.0,0.0,'l',0.7346424460411072,0.7346424460411072,0.0,32.0
61,same,8,0.41,0.41,orange,1,0.41,-0.41,magenta,1,-0.27,-0.41,blue,1,-0.14,0.27,yellow,1,0.14,0.41,red,1,0.14,-0.27,black,1,-0.41,-0.41,white,1,-0.27,0.14,green,1,0.05,0.05,0.15,-0.27,-0.41,blue,k,1.0,0.0,0.0,0.0,'l',1.2842304706573486,1.2842304706573486,0.0,12.0
62,same,8,0.41,0.14,red,1,0.14,-0.27,white,1,-0.41,-0.27,orange,1,-0.27,0.27,magenta,1,0.14,0.27,green,1,0.14,-0.14,blue,1,-0.27,-0.41,black,1,-0.41,0.14,yellow,1,0.05,0.05,0.15,-0.27,0.27,magenta,k,1.0,0.0,0.0,0.0,'l',1.1014608144760132,1.1014608144760132,0.0,46.0
63,same,8,0.27,0.27,magenta,1,0.27,-0.27,yellow,1,-0.27,-0.14,orange,1,-0.14,0.14,green,1,0.41,0.27,blue,1,0.41,-0.27,white,1,-0.41,-0.41,red,1,-0.41,0.27,black,1,0.05,0.05,0.15,0.27,0.27,magenta,k,1.0,0.0,0.0,0.0,'l',1.3169986009597778,1.3169986009597778,0.0,38.0
64,same,8,0.41,0.14,green,1,0.14,-0.41,white,1,-0.14,-0.14,yellow,1,-0.14,0.27,red,1,0.27,0.14,blue,1,0.27,-0.27,magenta,1,-0.14,-0.27,orange,1,-0.14,0.41,black,1,0.05,0.05,0.15,-0.14,0.27,red,k,1.0,0.0,0.0,0.0,'l',1.534814476966858,1.534814476966858,0.0,92.0
65,same,8,0.41,0.41,blue,1,0.27,-0.41,yellow,1,-0.27,-0.41,red,1,-0.41,0.27,white,1,0.14,0.27,black,1,0.27,-0.27,orange,1,-0.41,-0.41,magenta,1,-0.41,0.41,green,1,0.05,0.05,0.15,0.27,-0.27,orange,k,1.0,0.0,0.0,0.0,'l',1.0511631965637207,1.0511631965637207,0.0,58.0
